transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,unit_price,product_category,product_type
1,06/11/2023,13:12:48,1,2,Utrecht,3.0,Bakery,Scone
2,06/07/2023,14:45:20,2,3,Eindhoven,3.75,Bakery,Sandwich
3,06/10/2023,14:04:44,1,3,Eindhoven,3.15,Tea,Green tea
4,06/09/2023,07:47:50,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
5,06/10/2023,12:06:49,5,2,Utrecht,6.3,Coffee,Organic blended coffee
6,06/07/2023,19:48:31,1,1,Alkmaar,3.5,Bakery,Pie
7,06/11/2023,19:20:01,6,3,Eindhoven,4.5,Chocolate,Hot chocolate
8,06/10/2023,15:50:42,2,1,Alkmaar,4.5,Chocolate,Hot chocolate
9,06/05/2023,09:31:31,1,2,Utrecht,3.25,Tea,Chai tea
10,06/07/2023,16:49:27,5,2,Utrecht,3.0,Bakery,Scone
11,06/11/2023,16:10:00,2,2,Utrecht,4.5,Chocolate,Hot chocolate
12,06/09/2023,08:11:07,1,2,Utrecht,4.5,Chocolate,Hot chocolate
13,06/08/2023,13:20:59,1,2,Utrecht,3.5,Bakery,Pie
14,06/10/2023,11:54:35,4,2,Utrecht,3.25,Tea,Chai tea
15,06/10/2023,08:13:08,2,1,Alkmaar,3.0,Bakery,Scone
16,06/10/2023,18:37:22,3,2,Utrecht,3.5,Coffee,Milk coffee
17,06/10/2023,08:06:31,2,3,Eindhoven,4.5,Chocolate,Hot chocolate
18,06/05/2023,11:59:47,1,2,Utrecht,3.15,Tea,Green tea
19,06/08/2023,17:19:08,2,1,Alkmaar,3.75,Bakery,Sandwich
20,06/07/2023,16:39:47,1,3,Eindhoven,4.5,Chocolate,Hot chocolate
21,06/10/2023,06:52:48,4,2,Utrecht,6.3,Coffee,Organic blended coffee
22,06/06/2023,09:18:03,1,3,Eindhoven,3.15,Tea,Green tea
23,06/11/2023,13:49:10,3,3,Eindhoven,3.5,Bakery,Pie
24,06/10/2023,13:54:31,2,3,Eindhoven,4.25,Coffee,Syrup coffee
25,06/10/2023,18:43:51,1,1,Alkmaar,3.5,Bakery,Pie
26,06/05/2023,18:28:32,1,2,Utrecht,3.75,Bakery,Sandwich
27,06/06/2023,16:00:05,4,1,Alkmaar,3.0,Bakery,Scone
28,06/07/2023,07:15:54,3,3,Eindhoven,3.5,Tea,Herbal tea
29,06/07/2023,10:22:56,2,2,Utrecht,2.0,Coffee,Black coffee
30,06/06/2023,09:34:45,1,2,Utrecht,4.5,Chocolate,Hot chocolate
31,06/07/2023,14:30:50,2,2,Utrecht,3.5,Bakery,Pie
32,06/11/2023,06:06:43,2,3,Eindhoven,2.0,Coffee,Black coffee
